Microsoft (R) COFF/PE Dumper Version 14.16.27030.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    C00F8A30 time date stamp
        0.00 version
           8 ordinal base
        2379 number of functions
        2378 number of names

    ordinal hint RVA      name

        132   7B 00021800 LdrGetDllHandleEx
        133   7C 00031F30 LdrGetDllPath
        134   7D 000CE870 LdrGetFailureData
        135   7E 000E0270 LdrGetFileNameFromLoadAsDataTable
        136   7F 00082C80 LdrGetKnownDllSectionHandle
        137   80 0007DEB0 LdrGetProcedureAddress
        138   81 000690F0 LdrGetProcedureAddressEx
        139   82 0001AED0 LdrGetProcedureAddressForCaller
        140   83 000D0E80 LdrInitShimEngineDynamic
        141   84 000CD710 LdrInitializeEnclave
        142   85 00071790 LdrInitializeThunk
        143   86 000CE880 LdrIsModuleSxsRedirected
        144   87 0007C330 LdrLoadAlternateResourceModule
        145   88 00017880 LdrLoadAlternateResourceModuleEx
        146   89 00021610 LdrLoadDll
        147   8A 000CD8B0 LdrLoadEnclaveModule
        148   8B 0007B8F0 LdrLockLoaderLock
        149   8C 000E0D00 LdrOpenImageFileOptionsKey
        150   8D 0007EF50 LdrProcessInitializationComplete
        151   8E 000E2190 LdrProcessRelocationBlock
        152   8F 000E21C0 LdrProcessRelocationBlockEx
        153   90 00079340 LdrQueryImageFileExecutionOptions
        154   91 00079380 LdrQueryImageFileExecutionOptionsEx
        155   92 00079420 LdrQueryImageFileKeyOption
        156   93 000CE9C0 LdrQueryModuleServiceTags
        157   94 000CF1A0 LdrQueryOptionalDelayLoadedAPI
        158   95 000026E0 LdrQueryProcessModuleInformation
        159   96 00082E30 LdrRegisterDllNotification
        160   97 0008BDA0 LdrRemoveDllDirectory
        161   98 00072DE0 LdrRemoveLoadAsDataTable
        162   99 000E2690 LdrResFindResource
        163   9A 00056070 LdrResFindResourceDirectory
        164   9B 000587F0 LdrResGetRCConfig
        165   9C 0008B500 LdrResRelease
        166   9D 00056100 LdrResSearchResource
        167   9E 00018740 LdrResolveDelayLoadedAPI
        168   9F 000CF260 LdrResolveDelayLoadsFromDll
        169   A0 000180B0 LdrRscIsTypeExist
        170   A1 000822C0 LdrSetAppCompatDllRedirectionCallback
        171   A2 0007E8A0 LdrSetDefaultDllDirectories
        172   A3 0007E8E0 LdrSetDllDirectory
        173   A4 000822F0 LdrSetDllManifestProber
        174   A5 000CEE50 LdrSetImplicitPathOptions
        175   A6 0008B400 LdrSetMUICacheType
        176   A7 0006A970 LdrShutdownProcess
        177   A8 00022A30 LdrShutdownThread
        178   A9 0007F760 LdrStandardizeSystemPath
        179   AA 0017A2D0 LdrSystemDllInitBlock
        180   AB 0006EEF0 LdrUnloadAlternateResourceModule
        181   AC 0006EF00 LdrUnloadAlternateResourceModuleEx
        182   AD 0002F340 LdrUnloadDll
        183   AE 0007C600 LdrUnlockLoaderLock
        184   AF 000CEEC0 LdrUnregisterDllNotification
        185   B0 000DDD10 LdrUpdatePackageSearchPath
        186   B1 000CEF70 LdrVerifyImageMatchesChecksum
        187   B2 00089030 LdrVerifyImageMatchesChecksumEx
        188   B3 000580E0 LdrpResGetMappingSize
        189   B4 00056B70 LdrpResGetResourceDirectory
        190   B5 0010C460 MD4Final
        191   B6 0010C530 MD4Init
        192   B7 0010CAF0 MD4Update
        193   B8 00060940 MD5Final
        194   B9 0007C260 MD5Init
        195   BA 00060A10 MD5Update
        196   BB 001627CC NlsAnsiCodePage
        197   BC 00166560 NlsMbCodePageTag
        198   BD 00166528 NlsMbOemCodePageTag
        199   BE 0009C090 NtAcceptConnectPort
        200   BF 0009C050 NtAccessCheck
        201   C0 0009C570 NtAccessCheckAndAuditAlarm
        202   C1 0009CCA0 NtAccessCheckByType
        203   C2 0009CB70 NtAccessCheckByTypeAndAuditAlarm
        204   C3 0009CCC0 NtAccessCheckByTypeResultList
        205   C4 0009CCE0 NtAccessCheckByTypeResultListAndAuditAlarm
        206   C5 0009CD00 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        207   C6 0009CD20 NtAcquireProcessActivityReference
        208   C7 0009C930 NtAddAtom
        209   C8 0009CD40 NtAddAtomEx
        210   C9 0009CD60 NtAddBootEntry
        211   CA 0009CD80 NtAddDriverEntry
        212   CB 0009CDA0 NtAdjustGroupsToken
        213   CC 0009C870 NtAdjustPrivilegesToken
        214   CD 0009CDC0 NtAdjustTokenClaimsAndDeviceGroups
        215   CE 0009CDE0 NtAlertResumeThread
        216   CF 0009CE00 NtAlertThread
        217   D0 0009CE20 NtAlertThreadByThreadId
        218   D1 0009CE40 NtAllocateLocallyUniqueId
        219   D2 0009CE60 NtAllocateReserveObject
        220   D3 0009CE80 NtAllocateUserPhysicalPages
        221   D4 0009CEA0 NtAllocateUuids
        222   D5 0009C350 NtAllocateVirtualMemory
        223   D6 0009CEC0 NtAllocateVirtualMemoryEx
        224   D7 0009CEE0 NtAlpcAcceptConnectPort
        225   D8 0009CF00 NtAlpcCancelMessage
        226   D9 0009CF20 NtAlpcConnectPort
        227   DA 0009CF40 NtAlpcConnectPortEx
        228   DB 0009CF60 NtAlpcCreatePort
        229   DC 0009CF80 NtAlpcCreatePortSection
        230   DD 0009CFA0 NtAlpcCreateResourceReserve
        231   DE 0009CFC0 NtAlpcCreateSectionView
        232   DF 0009CFE0 NtAlpcCreateSecurityContext
        233   E0 0009D000 NtAlpcDeletePortSection
        234   E1 0009D020 NtAlpcDeleteResourceReserve
        235   E2 0009D040 NtAlpcDeleteSectionView
        236   E3 0009D060 NtAlpcDeleteSecurityContext
        237   E4 0009D080 NtAlpcDisconnectPort
        238   E5 0009D0A0 NtAlpcImpersonateClientContainerOfPort
        239   E6 0009D0C0 NtAlpcImpersonateClientOfPort
        240   E7 0009D0E0 NtAlpcOpenSenderProcess
        241   E8 0009D100 NtAlpcOpenSenderThread
        242   E9 0009D120 NtAlpcQueryInformation
        243   EA 0009D140 NtAlpcQueryInformationMessage
        244   EB 0009D160 NtAlpcRevokeSecurityContext
        245   EC 0009D180 NtAlpcSendWaitReceivePort
        246   ED 0009D1A0 NtAlpcSetInformation
        247   EE 0009C9D0 NtApphelpCacheControl
        248   EF 0009D1C0 NtAreMappedFilesTheSame
        249   F0 0009D1E0 NtAssignProcessToJobObject
        250   F1 0009D200 NtAssociateWaitCompletionPacket
        251   F2 0009D220 NtCallEnclave
        252   F3 0009C0F0 NtCallbackReturn
        253   F4 0009CBE0 NtCancelIoFile
        254   F5 0009D240 NtCancelIoFileEx
        255   F6 0009D260 NtCancelSynchronousIoFile
        256   F7 0009CC60 NtCancelTimer
        257   F8 0009D280 NtCancelTimer2
        258   F9 0009D2A0 NtCancelWaitCompletionPacket
        259   FA 0009C810 NtClearEvent
        260   FB 0009C230 NtClose
        261   FC 0009C7B0 NtCloseObjectAuditAlarm
        262   FD 0009D2C0 NtCommitComplete
        263   FE 0009D2E0 NtCommitEnlistment
        264   FF 0009D300 NtCommitRegistryTransaction
        265  100 0009D320 NtCommitTransaction
        266  101 0009D340 NtCompactKeys
        267  102 0009D360 NtCompareObjects
        268  103 0009D380 NtCompareSigningLevels
        269  104 0009D3A0 NtCompareTokens
        270  105 0009D3C0 NtCompleteConnectPort
        271  106 0009D3E0 NtCompressKey
        272  107 0009D400 NtConnectPort
        273  108 0009C8B0 NtContinue
        274  109 0009D420 NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
        275  10A 0009D440 NtCreateCrossVmEvent
        276  10B 0009D460 NtCreateDebugObject
        277  10C 0009D480 NtCreateDirectoryObject
        278  10D 0009D4A0 NtCreateDirectoryObjectEx
        279  10E 0009D4C0 NtCreateEnclave
        280  10F 0009D4E0 NtCreateEnlistment
        281  110 0009C950 NtCreateEvent
        282  111 0009D500 NtCreateEventPair
        283  112 0009CAF0 NtCreateFile
        284  113 0009D520 NtCreateIRTimer
        285  114 0009D540 NtCreateIoCompletion
        286  115 0009D560 NtCreateJobObject
        287  116 0009D580 NtCreateJobSet
        288  117 0009C3F0 NtCreateKey
        289  118 0009D5A0 NtCreateKeyTransacted
        290  119 0009D5C0 NtCreateKeyedEvent
        291  11A 0009D5E0 NtCreateLowBoxToken
        292  11B 0009D600 NtCreateMailslotFile
        293  11C 0009D620 NtCreateMutant
        294  11D 0009D640 NtCreateNamedPipeFile
        295  11E 0009D660 NtCreatePagingFile
        296  11F 0009D680 NtCreatePartition
        297  120 0009D6A0 NtCreatePort
        298  121 0009D6C0 NtCreatePrivateNamespace
        299  122 0009D6E0 NtCreateProcess
        300  123 0009C9F0 NtCreateProcessEx
        301  124 0009D700 NtCreateProfile
        302  125 0009D720 NtCreateProfileEx
        303  126 0009D740 NtCreateRegistryTransaction
        304  127 0009D760 NtCreateResourceManager
        305  128 0009C990 NtCreateSection
        306  129 0009D780 NtCreateSectionEx
        307  12A 0009D7A0 NtCreateSemaphore
        308  12B 0009D7C0 NtCreateSymbolicLinkObject
        309  12C 0009CA10 NtCreateThread
        310  12D 0009D7E0 NtCreateThreadEx
        311  12E 0009D800 NtCreateTimer
        312  12F 0009D820 NtCreateTimer2
        313  130 0009D840 NtCreateToken
        314  131 0009D860 NtCreateTokenEx
        315  132 0009D880 NtCreateTransaction
        316  133 0009D8A0 NtCreateTransactionManager
        317  134 0009D8C0 NtCreateUserProcess
        318  135 0009D8E0 NtCreateWaitCompletionPacket
        319  136 0009D900 NtCreateWaitablePort
        320  137 0009D920 NtCreateWnfStateName
        321  138 0009D940 NtCreateWorkerFactory
        322  139 0009D960 NtDebugActiveProcess
        323  13A 0009D980 NtDebugContinue
        324  13B 0009C6D0 NtDelayExecution
        325  13C 0009D9A0 NtDeleteAtom
        326  13D 0009D9C0 NtDeleteBootEntry
        327  13E 0009D9E0 NtDeleteDriverEntry
        328  13F 0009DA00 NtDeleteFile
        329  140 0009DA20 NtDeleteKey
        330  141 0009DA40 NtDeleteObjectAuditAlarm
        331  142 0009DA60 NtDeletePrivateNamespace
        332  143 0009DA80 NtDeleteValueKey
        333  144 0009DAA0 NtDeleteWnfStateData
        334  145 0009DAC0 NtDeleteWnfStateName
        335  146 0009C130 NtDeviceIoControlFile
        336  147 0009DAE0 NtDisableLastKnownGood
        337  148 0009DB00 NtDisplayString
        338  149 0009DB20 NtDrawText
        339  14A 0009C7D0 NtDuplicateObject
        340  14B 0009C890 NtDuplicateToken
        341  14C 0009DB40 NtEnableLastKnownGood
        342  14D 0009DB60 NtEnumerateBootEntries
        343  14E 0009DB80 NtEnumerateDriverEntries
        344  14F 0009C690 NtEnumerateKey
        345  150 0009DBA0 NtEnumerateSystemEnvironmentValuesEx
        346  151 0009DBC0 NtEnumerateTransactionObject
        347  152 0009C2B0 NtEnumerateValueKey
        348  153 0009DBE0 NtExtendSection
        349  154 0009DC00 NtFilterBootOption
        350  155 0009DC20 NtFilterToken
        351  156 0009DC40 NtFilterTokenEx
        352  157 0009C2D0 NtFindAtom
        353  158 0009C9B0 NtFlushBuffersFile
        354  159 0009DC60 NtFlushBuffersFileEx
        355  15A 0009DC80 NtFlushInstallUILanguage
        356  15B 0009DCA0 NtFlushInstructionCache
        357  15C 0009DCC0 NtFlushKey
        358  15D 0009DCE0 NtFlushProcessWriteBuffers
        359  15E 0009DD00 NtFlushVirtualMemory
        360  15F 0009DD20 NtFlushWriteBuffer
        361  160 0009DD40 NtFreeUserPhysicalPages
        362  161 0009C410 NtFreeVirtualMemory
        363  162 0009DD60 NtFreezeRegistry
        364  163 0009DD80 NtFreezeTransactions
        365  164 0009C770 NtFsControlFile
        366  165 0009DDA0 NtGetCachedSigningLevel
        367  166 0009DDC0 NtGetCompleteWnfStateSubscription
        368  167 0009DDE0 NtGetContextThread
        369  168 0009DE00 NtGetCurrentProcessorNumber
        370  169 0009DE20 NtGetCurrentProcessorNumberEx
        371  16A 0009DE40 NtGetDevicePowerState
        372  16B 0009DE60 NtGetMUIRegistryInfo
        373  16C 0009DE80 NtGetNextProcess
        374  16D 0009DEA0 NtGetNextThread
        375  16E 0009DEC0 NtGetNlsSectionPtr
        376  16F 0009DEE0 NtGetNotificationResourceManager
        377  170 000E4410 NtGetTickCount
        378  171 0009DF00 NtGetWriteWatch
        379  172 0009DF20 NtImpersonateAnonymousToken
        380  173 0009C430 NtImpersonateClientOfPort
        381  174 0009DF40 NtImpersonateThread
        382  175 0009DF60 NtInitializeEnclave
        383  176 0009DF80 NtInitializeNlsFiles
        384  177 0009DFA0 NtInitializeRegistry
        385  178 0009DFC0 NtInitiatePowerAction
        386  179 0009CA30 NtIsProcessInJob
        387  17A 0009DFE0 NtIsSystemResumeAutomatic
        388  17B 0009E000 NtIsUILanguageComitted
        389  17C 0009E020 NtListenPort
        390  17D 0009E040 NtLoadDriver
        391  17E 0009E060 NtLoadEnclaveData
        392  17F 0009E080 NtLoadKey
        393  180 0009E0A0 NtLoadKey2
        394  181 0009E0C0 NtLoadKeyEx
        395  182 0009E0E0 NtLockFile
        396  183 0009E100 NtLockProductActivationKeys
        397  184 0009E120 NtLockRegistryKey
        398  185 0009E140 NtLockVirtualMemory
        399  186 0009E160 NtMakePermanentObject
        400  187 0009E180 NtMakeTemporaryObject
        401  188 0009E1A0 NtManageHotPatch
        402  189 0009E1C0 NtManagePartition
        403  18A 0009E1E0 NtMapCMFModule
        404  18B 0009E200 NtMapUserPhysicalPages
