Microsoft (R) COFF/PE Dumper Version 14.16.27030.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    C00F8A30 time date stamp
        0.00 version
           8 ordinal base
        2379 number of functions
        2378 number of names

    ordinal hint RVA      name

        556  223 0009EF60 NtRollbackRegistryTransaction
        557  224 0009EF80 NtRollbackTransaction
        558  225 0009EFA0 NtRollforwardTransactionManager
        559  226 0009EFC0 NtSaveKey
        560  227 0009EFE0 NtSaveKeyEx
        561  228 0009F000 NtSaveMergedKeys
        562  229 0009F020 NtSecureConnectPort
        563  22A 0009F040 NtSerializeBoot
        564  22B 0009F060 NtSetBootEntryOrder
        565  22C 0009F080 NtSetBootOptions
        566  22D 0009F0A0 NtSetCachedSigningLevel
        567  22E 0009F0C0 NtSetCachedSigningLevel2
        568  22F 0009F0E0 NtSetContextThread
        569  230 0009F100 NtSetDebugFilterState
        570  231 0009F120 NtSetDefaultHardErrorPort
        571  232 0009F140 NtSetDefaultLocale
        572  233 0009F160 NtSetDefaultUILanguage
        573  234 0009F180 NtSetDriverEntryOrder
        574  235 0009F1A0 NtSetEaFile
        575  236 0009C210 NtSetEvent
        576  237 0009C5F0 NtSetEventBoostPriority
        577  238 0009F1C0 NtSetHighEventPair
        578  239 0009F1E0 NtSetHighWaitLowEventPair
        579  23A 0009F200 NtSetIRTimer
        580  23B 0009F220 NtSetInformationDebugObject
        581  23C 0009F240 NtSetInformationEnlistment
        582  23D 0009C530 NtSetInformationFile
        583  23E 0009F260 NtSetInformationJobObject
        584  23F 0009F280 NtSetInformationKey
        585  240 0009CBC0 NtSetInformationObject
        586  241 0009C3D0 NtSetInformationProcess
        587  242 0009F2A0 NtSetInformationResourceManager
        588  243 0009F2C0 NtSetInformationSymbolicLink
        589  244 0009C1F0 NtSetInformationThread
        590  245 0009F2E0 NtSetInformationToken
        591  246 0009F300 NtSetInformationTransaction
        592  247 0009F320 NtSetInformationTransactionManager
        593  248 0009F340 NtSetInformationVirtualMemory
        594  249 0009F360 NtSetInformationWorkerFactory
        595  24A 0009F380 NtSetIntervalProfile
        596  24B 0009F3A0 NtSetIoCompletion
        597  24C 0009F3C0 NtSetIoCompletionEx
        598  24D 0009F3E0 NtSetLdtEntries
        599  24E 0009F400 NtSetLowEventPair
        600  24F 0009F420 NtSetLowWaitHighEventPair
        601  250 0009F440 NtSetQuotaInformationFile
        602  251 0009F460 NtSetSecurityObject
        603  252 0009F480 NtSetSystemEnvironmentValue
        604  253 0009F4A0 NtSetSystemEnvironmentValueEx
        605  254 0009F4C0 NtSetSystemInformation
        606  255 0009F4E0 NtSetSystemPowerState
        607  256 0009F500 NtSetSystemTime
        608  257 0009F520 NtSetThreadExecutionState
        609  258 0009CC80 NtSetTimer
        610  259 0009F540 NtSetTimer2
        611  25A 0009F560 NtSetTimerEx
        612  25B 0009F580 NtSetTimerResolution
        613  25C 0009F5A0 NtSetUuidSeed
        614  25D 0009CC40 NtSetValueKey
        615  25E 0009F5C0 NtSetVolumeInformationFile
        616  25F 0009F5E0 NtSetWnfProcessNotificationEvent
        617  260 0009F600 NtShutdownSystem
        618  261 0009F620 NtShutdownWorkerFactory
        619  262 0009F640 NtSignalAndWaitForSingleObject
        620  263 0009F660 NtSinglePhaseReject
        621  264 0009F680 NtStartProfile
        622  265 0009F6A0 NtStopProfile
        623  266 0009F6C0 NtSubscribeWnfStateChange
        624  267 0009F6E0 NtSuspendProcess
        625  268 0009F700 NtSuspendThread
        626  269 0009F720 NtSystemDebugControl
        627  26A 0009F740 NtTerminateEnclave
        628  26B 0009F760 NtTerminateJobObject
        629  26C 0009C5D0 NtTerminateProcess
        630  26D 0009CAB0 NtTerminateThread
        631  26E 0009F780 NtTestAlert
        632  26F 0009F7A0 NtThawRegistry
        633  270 0009F7C0 NtThawTransactions
        634  271 0009F7E0 NtTraceControl
        635  272 0009CC00 NtTraceEvent
        636  273 0009F800 NtTranslateFilePath
        637  274 0009F820 NtUmsThreadYield
        638  275 0009F840 NtUnloadDriver
        639  276 0009F860 NtUnloadKey
        640  277 0009F880 NtUnloadKey2
        641  278 0009F8A0 NtUnloadKeyEx
        642  279 0009F8C0 NtUnlockFile
        643  27A 0009F8E0 NtUnlockVirtualMemory
        644  27B 0009C590 NtUnmapViewOfSection
        645  27C 0009F900 NtUnmapViewOfSectionEx
        646  27D 0009F920 NtUnsubscribeWnfStateChange
        647  27E 0009F940 NtUpdateWnfStateData
        648  27F 0009F960 NtVdmControl
        649  280 0009F980 NtWaitForAlertByThreadId
        650  281 0009F9A0 NtWaitForDebugEvent
        651  282 0009F9C0 NtWaitForKeyedEvent
        652  283 0009CBA0 NtWaitForMultipleObjects
        653  284 0009C390 NtWaitForMultipleObjects32
        654  285 0009C0D0 NtWaitForSingleObject
        655  286 0009F9E0 NtWaitForWorkViaWorkerFactory
        656  287 0009FA00 NtWaitHighEventPair
        657  288 0009FA20 NtWaitLowEventPair
        658  289 0009C070 NtWorkerFactoryWorkerReady
        659  28A 0009C150 NtWriteFile
        660  28B 0009C3B0 NtWriteFileGather
        661  28C 0009CB30 NtWriteRequestData
        662  28D 0009C790 NtWriteVirtualMemory
        663  28E 0009C910 NtYieldExecution
        664  28F 0009BD20 NtdllDefWindowProc_A
        665  290 0009BD30 NtdllDefWindowProc_W
        666  291 0009BDE0 NtdllDialogWndProc_A
        667  292 0009BDF0 NtdllDialogWndProc_W
        668  293 000E48B0 PfxFindPrefix
        669  294 000E4990 PfxInitialize
        670  295 000E49B0 PfxInsertPrefix
        671  296 000E4AD0 PfxRemovePrefix
        672  297 001103B0 PssNtCaptureSnapshot
        673  298 00110880 PssNtDuplicateSnapshot
        674  299 00110900 PssNtFreeRemoteSnapshot
        675  29A 00110B10 PssNtFreeSnapshot
        676  29B 00110CA0 PssNtFreeWalkMarker
        677  29C 00110CD0 PssNtQuerySnapshot
        678  29D 00110F70 PssNtValidateDescriptor
        679  29E 00111100 PssNtWalkSnapshot
        680  29F 0007E380 RtlAbortRXact
        681  2A0 00067A00 RtlAbsoluteToSelfRelativeSD
        682  2A1 000790F0 RtlAcquirePebLock
        683  2A2 00075470 RtlAcquirePrivilege
        684  2A3 0007CAD0 RtlAcquireReleaseSRWLockExclusive
        685  2A4 0005F5C0 RtlAcquireResourceExclusive
        686  2A5 0005F4B0 RtlAcquireResourceShared
        687  2A6 00039430 RtlAcquireSRWLockExclusive
        688  2A7 0001A950 RtlAcquireSRWLockShared
        689  2A8 00070890 RtlActivateActivationContext
        690  2A9 000708E0 RtlActivateActivationContextEx
        691  2AA 00024F10 RtlActivateActivationContextUnsafeFast
        692  2AB 00012740 RtlAddAccessAllowedAce
        693  2AC 00079790 RtlAddAccessAllowedAceEx
        694  2AD 00087AD0 RtlAddAccessAllowedObjectAce
        695  2AE 0008B290 RtlAddAccessDeniedAce
        696  2AF 000845C0 RtlAddAccessDeniedAceEx
        697  2B0 00087A20 RtlAddAccessDeniedObjectAce
        698  2B1 000E70D0 RtlAddAccessFilterAce
        699  2B2 00068360 RtlAddAce
        700  2B3 000880E0 RtlAddActionToRXact
        701  2B4 0005ACC0 RtlAddAtomToAtomTable
        702  2B5 0007F930 RtlAddAttributeActionToRXact
        703  2B6 0008AA60 RtlAddAuditAccessAce
        704  2B7 00089410 RtlAddAuditAccessAceEx
        705  2B8 00087A70 RtlAddAuditAccessObjectAce
        706  2B9 000E72E0 RtlAddCompoundAce
        707  2BA 000653A0 RtlAddFunctionTable
        708  2BB 000655B0 RtlAddGrowableFunctionTable
        709  2BC 000E8B30 RtlAddIntegrityLabelToBoundaryDescriptor
        710  2BD 0000E530 RtlAddMandatoryAce
        711  2BE 0008A840 RtlAddProcessTrustLabelAce
        712  2BF 00029A90 RtlAddRefActivationContext
        713  2C0 000822C0 RtlAddRefMemoryStream
        714  2C1 000E7450 RtlAddResourceAttributeAce
        715  2C2 0007DD80 RtlAddSIDToBoundaryDescriptor
        716  2C3 000E7790 RtlAddScopedPolicyIDAce
        717  2C4 000D8BB0 RtlAddVectoredContinueHandler
        718  2C5 0007F260 RtlAddVectoredExceptionHandler
        719  2C6 00075420 RtlAddressInSectionTable
        720  2C7 00077E30 RtlAdjustPrivilege
        721  2C8 0006E2A0 RtlAllocateActivationContextStack
        722  2C9 0006BC90 RtlAllocateAndInitializeSid
        723  2CA 00089F60 RtlAllocateAndInitializeSidEx
        724  2CB 0005B2F0 RtlAllocateHandle
        725  2CC 0003B800 RtlAllocateHeap
        726  2CD 00117010 RtlAllocateMemoryBlockLookaside
        727  2CE 00117130 RtlAllocateMemoryZone
        728  2CF 00082600 RtlAllocateWnfSerializationGroup
        729  2D0 00063100 RtlAnsiCharToUnicodeChar
        730  2D1 00022090 RtlAnsiStringToUnicodeSize
        731  2D2 00024B80 RtlAnsiStringToUnicodeString
        732  2D3 000E8F70 RtlAppendAsciizToString
        733  2D4 000CCD10 RtlAppendPathElement
        734  2D5 000E8FE0 RtlAppendStringToString
        735  2D6 00026150 RtlAppendUnicodeStringToString
        736  2D7 000150B0 RtlAppendUnicodeToString
        737  2D8 000DB3C0 RtlApplicationVerifierStop
        738  2D9 00088F80 RtlApplyRXact
        739  2DA 0007E350 RtlApplyRXactNoFlush
        740  2DB 000CC8A0 RtlAppxIsFileOwnedByTrustedInstaller
        741  2DC 00079AC0 RtlAreAllAccessesGranted
        742  2DD 000E4BA0 RtlAreAnyAccessesGranted
        743  2DE 000E90B0 RtlAreBitsClear
        744  2DF 00079D20 RtlAreBitsSet
        745  2E0 00073B90 RtlAreLongPathsEnabled
        746  2E1 000EA680 RtlAssert
        747  2E2 00065810 RtlAvlInsertNodeEx
        748  2E3 00065000 RtlAvlRemoveNode
        749  2E4 000EA7B0 RtlBarrier
        750  2E5 000EA7C0 RtlBarrierForDelete
        751  2E6 0009FF8B RtlCallEnclaveReturn
        752  2E7 0010FCF0 RtlCancelTimer
        753  2E8 0002AEA0 RtlCanonicalizeDomainName
        754  2E9 0000B770 RtlCapabilityCheck
        755  2EA 00085D70 RtlCapabilityCheckForSingleSessionSku
        756  2EB 000A0080 RtlCaptureContext
        757  2EC 000741C0 RtlCaptureStackBackTrace
        758  2ED 0006EB80 RtlCharToInteger
        759  2EE 000EAB30 RtlCheckBootStatusIntegrity
        760  2EF 0007CEE0 RtlCheckForOrphanedCriticalSections
        761  2F0 00002AB0 RtlCheckPortableOperatingSystem
        762  2F1 00003260 RtlCheckRegistryKey
        763  2F2 00084280 RtlCheckSandboxedToken
        764  2F3 000EAC90 RtlCheckSystemBootStatusIntegrity
        765  2F4 0000E8F0 RtlCheckTokenCapability
        766  2F5 000E4BB0 RtlCheckTokenMembership
        767  2F6 000132D0 RtlCheckTokenMembershipEx
        768  2F7 00005DD0 RtlCleanUpTEBLangLists
        769  2F8 00071990 RtlClearAllBits
        770  2F9 0009B6D0 RtlClearBit
        771  2FA 00058CF0 RtlClearBits
        772  2FB 000675C0 RtlClearThreadWorkOnBehalfTicket
        773  2FC 000D5F50 RtlCloneMemoryStream
        774  2FD 000D6980 RtlCloneUserProcess
        775  2FE 000EEB10 RtlCmDecodeMemIoResource
        776  2FF 000EEB80 RtlCmEncodeMemIoResource
        777  300 000D74F0 RtlCommitDebugInfo
        778  301 000D5F50 RtlCommitMemoryStream
        779  302 00088E20 RtlCompactHeap
        780  303 000F1F70 RtlCompareAltitudes
        781  304 000A07D0 RtlCompareMemory
        782  305 000A0850 RtlCompareMemoryUlong
        783  306 00089360 RtlCompareString
        784  307 00019EF0 RtlCompareUnicodeString
        785  308 0001A050 RtlCompareUnicodeStrings
        786  309 0009B280 RtlCompleteProcessCloning
        787  30A 000807C0 RtlCompressBuffer
        788  30B 0005D570 RtlComputeCrc32
        789  30C 000DF7D0 RtlComputeImportTableHash
        790  30D 000D5BD0 RtlComputePrivatizedDllName_U
        791  30E 0008A6B0 RtlConnectToSm
        792  30F 000E3660 RtlConsoleMultiByteToUnicodeN
        793  310 000F2390 RtlConstructCrossVmEventPath
        794  311 0007F8F0 RtlContractHashTable
        795  312 00074610 RtlConvertDeviceFamilyInfoToString
        796  313 00089D90 RtlConvertExclusiveToShared
        797  314 000EBD00 RtlConvertLCIDToString
        798  315 00083E10 RtlConvertSRWLockExclusiveToShared
        799  316 0005F380 RtlConvertSharedToExclusive
        800  317 00014600 RtlConvertSidToUnicodeString
        801  318 000D6EE0 RtlConvertToAutoInheritSecurityObject
        802  319 000E9160 RtlCopyBitMap
        803  31A 00065C80 RtlCopyContext
        804  31B 000F23D0 RtlCopyExtendedContext
        805  31C 00073F90 RtlCopyLuid
        806  31D 000E4BD0 RtlCopyLuidAndAttributesArray
        807  31E 00083B80 RtlCopyMappedMemory
        808  31F 000A2C40 RtlCopyMemory
        809  320 000A0880 RtlCopyMemoryNonTemporal
        810  321 000D5F50 RtlCopyMemoryStreamTo
        811  322 000D5F50 RtlCopyOutOfProcessMemoryStreamTo
        812  323 00067780 RtlCopySecurityDescriptor
        813  324 00014A50 RtlCopySid
        814  325 000E4C00 RtlCopySidAndAttributesArray
        815  326 00083E40 RtlCopyString
        816  327 00015030 RtlCopyUnicodeString
        817  328 00084B30 RtlCrc32
        818  329 000F2B40 RtlCrc64
        819  32A 000119E0 RtlCreateAcl
        820  32B 000713A0 RtlCreateActivationContext
        821  32C 00068080 RtlCreateAndSetSD
        822  32D 0005B500 RtlCreateAtomTable
        823  32E 000EACF0 RtlCreateBootStatusDataFile
        824  32F 000800E0 RtlCreateBoundaryDescriptor
        825  330 0005BC10 RtlCreateEnvironment
        826  331 0005C520 RtlCreateEnvironmentEx
        827  332 0006F390 RtlCreateHashTable
        828  333 00088F70 RtlCreateHashTableEx
        829  334 00048A90 RtlCreateHeap
        830  335 0006E850 RtlCreateMemoryBlockLookaside
        831  336 0006EA40 RtlCreateMemoryZone
        832  337 000D6C30 RtlCreateProcessParameters
        833  338 0005BBA0 RtlCreateProcessParametersEx
        834  339 0005BC30 RtlCreateProcessParametersWithTemplate
        835  33A 000D6080 RtlCreateProcessReflection
        836  33B 0005A6A0 RtlCreateQueryDebugBuffer
        837  33C 000EB500 RtlCreateRegistryKey
        838  33D 0000FF60 RtlCreateSecurityDescriptor
        839  33E 0000B430 RtlCreateServiceSid
        840  33F 00085FB0 RtlCreateSystemVolumeInformationFolder
        841  340 0007BEA0 RtlCreateTagHeap
        842  341 00030E80 RtlCreateTimer
        843  342 00080C90 RtlCreateTimerQueue
        844  343 000F3550 RtlCreateUmsCompletionList
        845  344 000F3670 RtlCreateUmsThreadContext
        846  345 0002BE90 RtlCreateUnicodeString
        847  346 00021290 RtlCreateUnicodeStringFromAsciiz
        848  347 000E0BB0 RtlCreateUserFiberShadowStack
        849  348 000E0C40 RtlCreateUserProcess
        850  349 00089690 RtlCreateUserProcessEx
        851  34A 000D6EF0 RtlCreateUserSecurityObject
        852  34B 000742A0 RtlCreateUserStack
        853  34C 000056F0 RtlCreateUserThread
        854  34D 00082350 RtlCreateVirtualAccountSid
        855  34E 00016830 RtlCultureNameToLCID
        856  34F 000E37D0 RtlCustomCPToUnicodeN
        857  350 0005D5C0 RtlCutoverTimeToSystemTime
        858  351 000D7500 RtlDeCommitDebugInfo
        859  352 000D6CA0 RtlDeNormalizeProcessParams
        860  353 0006E4A0 RtlDeactivateActivationContext
        861  354 00024DC0 RtlDeactivateActivationContextUnsafeFast
        862  355 0007F760 RtlDebugPrintTimes
        863  356 00067740 RtlDecodePointer
        864  357 000DB920 RtlDecodeRemotePointer
        865  358 00080D50 RtlDecodeSystemPointer
        866  359 000F2180 RtlDecompressBuffer
        867  35A 00080000 RtlDecompressBufferEx
        868  35B 000F2200 RtlDecompressFragment
        869  35C 00001E70 RtlDefaultNpAcl
        870  35D 00064500 RtlDelete
        871  35E 00076F60 RtlDeleteAce
        872  35F 0005A9C0 RtlDeleteAtomFromAtomTable
        873  360 000EA7D0 RtlDeleteBarrier
        874  361 0006D080 RtlDeleteBoundaryDescriptor
        875  362 00032B40 RtlDeleteCriticalSection
        876  363 00064020 RtlDeleteElementGenericTable
        877  364 000638C0 RtlDeleteElementGenericTableAvl
        878  365 00063B90 RtlDeleteElementGenericTableAvlEx
        879  366 00064CE0 RtlDeleteFunctionTable
        880  367 00064E80 RtlDeleteGrowableFunctionTable
        881  368 000797C0 RtlDeleteHashTable
        882  369 000645A0 RtlDeleteNoSplay
        883  36A 0008B310 RtlDeleteRegistryValue
        884  36B 00032AB0 RtlDeleteResource
        885  36C 00079AD0 RtlDeleteSecurityObject
        886  36D 00030BF0 RtlDeleteTimer
        887  36E 0010FD00 RtlDeleteTimerQueue
        888  36F 00081F10 RtlDeleteTimerQueueEx
        889  370 000F3780 RtlDeleteUmsCompletionList
        890  371 000F37E0 RtlDeleteUmsThreadContext
        891  372 000F3840 RtlDequeueUmsCompletionListItems
        892  373 000F4200 RtlDeregisterSecureMemoryCacheCallback
        893  374 00084270 RtlDeregisterWait
        894  375 0002FE30 RtlDeregisterWaitEx
        895  376 00021460 RtlDeriveCapabilitySidsFromName
        896  377 00087DF0 RtlDestroyAtomTable
        897  378 0007E2E0 RtlDestroyEnvironment
        898  379 000841F0 RtlDestroyHandleTable
        899  37A 0004A2F0 RtlDestroyHeap
        900  37B 000832F0 RtlDestroyMemoryBlockLookaside
        901  37C 00083350 RtlDestroyMemoryZone
        902  37D 0007E2E0 RtlDestroyProcessParameters
        903  37E 00075140 RtlDestroyQueryDebugBuffer
        904  37F 0006AF80 RtlDetectHeapLeaks
        905  380 0002F030 RtlDetermineDosPathNameType_U
        906  381 000CCA10 RtlDisableThreadProfiling
        907  382 000071E0 RtlDllShutdownInProgress
        908  383 000613D0 RtlDnsHostNameToComputerName
        909  384 0005D250 RtlDoesFileExists_U
        910  385 000F5030 RtlDoesNameContainWildCards
        911  386 000263D0 RtlDosApplyFileIsolationRedirection_Ustr
        912  387 000CCF60 RtlDosLongPathNameToNtPathName_U_WithStatus
        913  388 000CCF90 RtlDosLongPathNameToRelativeNtPathName_U_WithStatus
        914  389 00029300 RtlDosPathNameToNtPathName_U
        915  38A 000292A0 RtlDosPathNameToNtPathName_U_WithStatus
        916  38B 00029330 RtlDosPathNameToRelativeNtPathName_U
        917  38C 00027640 RtlDosPathNameToRelativeNtPathName_U_WithStatus
        918  38D 00089B50 RtlDosSearchPath_U
        919  38E 00025860 RtlDosSearchPath_Ustr
        920  38F 000E8BF0 RtlDowncaseUnicodeChar
        921  390 000703D0 RtlDowncaseUnicodeString
        922  391 000F5860 RtlDrainNonVolatileFlush
        923  392 000E69E0 RtlDumpResource
        924  393 00077430 RtlDuplicateUnicodeString
        925  394 00087FA0 RtlEmptyAtomTable
        926  395 000E6A30 RtlEnableEarlyCriticalSectionEventCreation
        927  396 000CCA80 RtlEnableThreadProfiling
        928  397 0009FEB0 RtlEnclaveCallDispatch
        929  398 0009FEE1 RtlEnclaveCallDispatchReturn
        930  399 0006F570 RtlEncodePointer
        931  39A 000DB990 RtlEncodeRemotePointer
        932  39B 000834E0 RtlEncodeSystemPointer
        933  39C 0007F830 RtlEndEnumerationHashTable
        934  39D 0007F760 RtlEndStrongEnumerationHashTable
        935  39E 000F23A0 RtlEndWeakEnumerationHashTable
        936  39F 0001B390 RtlEnterCriticalSection
        937  3A0 000F38D0 RtlEnterUmsSchedulingMode
        938  3A1 000EEF80 RtlEnumProcessHeaps
        939  3A2 00066CF0 RtlEnumerateEntryHashTable
        940  3A3 00063FB0 RtlEnumerateGenericTable
        941  3A4 000669F0 RtlEnumerateGenericTableAvl
        942  3A5 000F3FA0 RtlEnumerateGenericTableLikeADirectory
        943  3A6 00064810 RtlEnumerateGenericTableWithoutSplaying
        944  3A7 00066A10 RtlEnumerateGenericTableWithoutSplayingAvl
        945  3A8 00087D40 RtlEqualComputerName
        946  3A9 0002AE20 RtlEqualDomainName
        947  3AA 000E4CC0 RtlEqualLuid
        948  3AB 00012560 RtlEqualPrefixSid
        949  3AC 000669B0 RtlEqualSid
        950  3AD 00061AB0 RtlEqualString
        951  3AE 00022960 RtlEqualUnicodeString
        952  3AF 000849C0 RtlEqualWnfChangeStamps
        953  3B0 00083280 RtlEraseUnicodeString
        954  3B1 000F59B0 RtlEthernetAddressToStringA
        955  3B2 000F5C00 RtlEthernetAddressToStringW
        956  3B3 000F5C70 RtlEthernetStringToAddressA
        957  3B4 000F5DB0 RtlEthernetStringToAddressW
        958  3B5 000F39B0 RtlExecuteUmsThread
        959  3B6 0006A8A0 RtlExitUserProcess
        960  3B7 0006CEA0 RtlExitUserThread
        961  3B8 00017140 RtlExpandEnvironmentStrings
        962  3B9 000028C0 RtlExpandEnvironmentStrings_U
        963  3BA 00085DE0 RtlExpandHashTable
        964  3BB 00071F10 RtlExtendCorrelationVector
        965  3BC 000025E0 RtlExtendMemoryBlockLookaside
        966  3BD 000025F0 RtlExtendMemoryZone
        967  3BE 000E9370 RtlExtractBitMap
        968  3BF 000F6050 RtlFillMemory
        969  3C0 000A09C0 RtlFillMemoryNonTemporal
        970  3C1 000F6070 RtlFillNonVolatileMemory
        971  3C2 0007F760 RtlFinalReleaseOutOfProcessMemoryStream
        972  3C3 00012680 RtlFindAceByType
        973  3C4 000261F0 RtlFindActivationContextSectionGuid
        974  3C5 00026C00 RtlFindActivationContextSectionString
        975  3C6 00028A90 RtlFindCharInUnicodeString
        976  3C7 000E9510 RtlFindClearBits
        977  3C8 00055C30 RtlFindClearBitsAndSet
        978  3C9 000E9860 RtlFindClearRuns
        979  3CA 000EEC70 RtlFindClosestEncodableLength
        980  3CB 000787A0 RtlFindExportedRoutineByName
        981  3CC 0007BC50 RtlFindLastBackwardRunClear
        982  3CD 00083DD0 RtlFindLeastSignificantBit
        983  3CE 000E9B50 RtlFindLongestRunClear
        984  3CF 00067CC0 RtlFindMessage
        985  3D0 00083F20 RtlFindMostSignificantBit
        986  3D1 000E9B90 RtlFindNextForwardRunClear
        987  3D2 0008ABA0 RtlFindSetBits
        988  3D3 000E9CC0 RtlFindSetBitsAndClear
        989  3D4 00085A50 RtlFindUnicodeSubstring
        990  3D5 0009FAF0 RtlFirstEntrySList
        991  3D6 00014A90 RtlFirstFreeAce
        992  3D7 00068560 RtlFlsAlloc
        993  3D8 00073FA0 RtlFlsFree
        994  3D9 0005DDB0 RtlFlsGetValue
        995  3DA 00054250 RtlFlsSetValue
        996  3DB 00066F90 RtlFlushHeaps
        997  3DC 000F5890 RtlFlushNonVolatileMemory
        998  3DD 000F6120 RtlFlushNonVolatileMemoryRanges
        999  3DE 000F42C0 RtlFlushSecureMemoryCache
       1000  3DF 00013790 RtlFormatCurrentUserKeyPath
       1001  3E0 000F6300 RtlFormatMessage
       1002  3E1 00051870 RtlFormatMessageEx
       1003  3E2 0006E360 RtlFreeActivationContextStack
       1004  3E3 00029BB0 RtlFreeAnsiString
       1005  3E4 0005B9D0 RtlFreeHandle
       1006  3E5 0003FB50 RtlFreeHeap
       1007  3E6 00117190 RtlFreeMemoryBlockLookaside
       1008  3E7 000F61B0 RtlFreeNonVolatileToken
       1009  3E8 000894A0 RtlFreeOemString
       1010  3E9 00073AF0 RtlFreeSid
       1011  3EA 0006E320 RtlFreeThreadActivationContextStack
       1012  3EB 00029BB0 RtlFreeUnicodeString
       1013  3EC 000E0CD0 RtlFreeUserFiberShadowStack
       1014  3ED 0007E2A0 RtlFreeUserStack
       1015  3EE 00069B10 RtlGUIDFromString
       1016  3EF 000F64F0 RtlGenerate8dot3Name
       1017  3F0 0006E7F0 RtlGetAce
       1018  3F1 0002D840 RtlGetActiveActivationContext
       1019  3F2 000816F0 RtlGetActiveConsoleId
       1020  3F3 0000B550 RtlGetAppContainerNamedObjectPath
       1021  3F4 0000B6A0 RtlGetAppContainerParent
       1022  3F5 0000C2C0 RtlGetAppContainerSidType
       1023  3F6 000EA910 RtlGetCallersAddress
       1024  3F7 00080090 RtlGetCompressionWorkSpaceSize
       1025  3F8 000F6C00 RtlGetConsoleSessionForegroundProcessId
       1026  3F9 00079CA0 RtlGetControlSecurityDescriptor
       1027  3FA 000E6A60 RtlGetCriticalSectionRecursionCount
       1028  3FB 00076140 RtlGetCurrentDirectory_U
       1029  3FC 000F6C40 RtlGetCurrentPeb
       1030  3FD 000A0AC0 RtlGetCurrentProcessorNumber
       1031  3FE 000A0B00 RtlGetCurrentProcessorNumberEx
       1032  3FF 0003FC40 RtlGetCurrentServiceSessionId
       1033  400 0006C750 RtlGetCurrentTransaction
       1034  401 0005D4F0 RtlGetCurrentUmsThread
       1035  402 000719C0 RtlGetDaclSecurityDescriptor
       1036  403 000746F0 RtlGetDeviceFamilyInfoEnum
       1037  404 0007C150 RtlGetElementGenericTable
       1038  405 000F40D0 RtlGetElementGenericTableAvl
       1039  406 0007FDB0 RtlGetEnabledExtendedFeatures
       1040  407 00080740 RtlGetExePath
       1041  408 00020CF0 RtlGetExtendedContextLength
       1042  409 0001ECE0 RtlGetExtendedContextLength2
       1043  40A 000F23F0 RtlGetExtendedFeaturesMask
       1044  40B 00059730 RtlGetFileMUIPath
       1045  40C 000CE510 RtlGetFrame
       1046  40D 0007FDD0 RtlGetFullPathName_U
       1047  40E 000291E0 RtlGetFullPathName_UEx
       1048  40F 00028E50 RtlGetFullPathName_UstrEx
       1049  410 000DFEA0 RtlGetFunctionTableListHead
       1050  411 0007AA70 RtlGetGroupSecurityDescriptor
       1051  412 0005B150 RtlGetIntegerAtom
       1052  413 000E4170 RtlGetInterruptTimePrecise
       1053  414 0007A7D0 RtlGetLastNtStatus
       1054  415 000F6D00 RtlGetLastWin32Error
       1055  416 00076920 RtlGetLengthWithoutLastFullDosOrNtPathElement
       1056  417 0008AAA0 RtlGetLengthWithoutTrailingPathSeperators
       1057  418 0007AE10 RtlGetLocaleFileMappingAddress
       1058  419 00082DF0 RtlGetLongestNtPathLength
       1059  41A 000E4220 RtlGetMultiTimePrecise
       1060  41B 0009C710 RtlGetNativeSystemInformation
       1061  41C 0007FEE0 RtlGetNextEntryHashTable
       1062  41D 000F3BB0 RtlGetNextUmsListItem
       1063  41E 000F61D0 RtlGetNonVolatileToken
       1064  41F 0009B710 RtlGetNtGlobalFlags
       1065  420 0002DCE0 RtlGetNtProductType
       1066  421 00029270 RtlGetNtSystemRoot
       1067  422 000D5030 RtlGetNtVersionNumbers
       1068  423 00077CF0 RtlGetOwnerSecurityDescriptor
       1069  424 0000EF70 RtlGetParentLocaleName
       1070  425 0006F660 RtlGetPersistedStateLocation
       1071  426 000EEF90 RtlGetProcessHeaps
       1072  427 00088450 RtlGetProcessPreferredUILanguages
       1073  428 00081720 RtlGetProductInfo
       1074  429 00075E80 RtlGetSaclSecurityDescriptor
       1075  42A 00082680 RtlGetSearchPath
       1076  42B 000818C0 RtlGetSecurityDescriptorRMControl
       1077  42C 000E4CE0 RtlGetSessionProperties
       1078  42D 000EAE50 RtlGetSetBootStatusData
       1079  42E 0002DCB0 RtlGetSuiteMask
       1080  42F 0008AF40 RtlGetSystemBootStatus
       1081  430 000EAFB0 RtlGetSystemBootStatusEx
       1082  431 00073C10 RtlGetSystemPreferredUILanguages
       1083  432 0000BAF0 RtlGetSystemTimePrecise
       1084  433 0007CBF0 RtlGetThreadErrorMode
       1085  434 000EBE00 RtlGetThreadLangIdByIndex
       1086  435 00013AE0 RtlGetThreadPreferredUILanguages
       1087  436 0006A6A0 RtlGetThreadWorkOnBehalfTicket
       1088  437 000820E0 RtlGetTokenNamedObjectPath
       1089  438 00083810 RtlGetUILanguageInfo
       1090  439 000F3BE0 RtlGetUmsCompletionListEvent
       1091  43A 000CEFD0 RtlGetUnloadEventTrace
       1092  43B 000CEFE0 RtlGetUnloadEventTraceEx
       1093  43C 0006DCD0 RtlGetUserInfoHeap
